"CRNII","GEAR","tot_catch","wae_catch","YEAR","DEPTH","SECCHI","LAT","LONG"
"2013009",10,24,9,2013,10,"1.9",41.978,-82.77466667
"2013010",7,96,67,2013,11.2,"1.5",41.85566667,-82.772
"2013010",10,36,23,2013,11.2,"1.5",41.85566667,-82.772
"2013011",7,115,61,2013,10,"2.5",41.81216667,-82.56366667
"2013011",10,40,21,2013,10,"2.5",41.81216667,-82.56366667
"2013012",7,74,13,2013,12.8,"1.3",41.68683333,-82.428
"2013012",10,51,6,2013,12.8,"1.3",41.68683333,-82.428
"2013013",7,80,49,2013,17.8,"1.3",41.77533333,-82.27166667
"2013013",10,48,15,2013,17.8,"1.3",41.77533333,-82.27166667
"2013014",7,247,2,2013,17.4,"2",41.94216667,-82.35766667
"2013014",10,155,2,2013,17.4,"2",41.94216667,-82.35766667
